sensor_index,last_modified,date_created,last_seen,location_type,rssi,uptime,latency,latitude,longitude,altitude
27753,1686321091,1551369767,1708525477,0,-83,6189,232,40.43233,-79.898476,883
27821,1568203731,1551480877,1708525453,0,-75,386,289,29.77074,-95.370056,45
27889,1567887131,1551712955,1708525465,0,-58,20136,558,42.279324,-83.14394,583
27891,1617737187,1551712957,1708525418,0,-59,58660,323,32.777695,-96.865845,437
27905,1602626634,1551713013,1708525447,0,-57,37246,268,29.790651,-95.113846,27
28163,1581723364,1551908943,1708525442,0,-61,24369,369,30.737822,-94.42117,344
28175,1567626183,1551979314,1708525421,0,-51,35535,475,27.604252,-82.51726,34
28203,1563815475,1551983012,1708525387,1,-44,20720,238,40.691135,-80.27987,733
28217,1563823550,1551983109,1708525477,1,-53,57187,380,40.69281,-80.279305,733
28247,1567622663,1551987472,1708525394,0,-56,70991,412,27.604187,-82.51731,34
28263,1554677238,1552002125,1708525405,0,-57,2180,299,38.762554,-90.632095,475
28671,1600550858,1552511890,1708525475,0,-58,794,460,36.09469,-95.95382,712
28721,1591129288,1552574378,1708525446,0,-73,36331,1048,40.542088,-79.93459,1257
28765,1554340987,1552574518,1708525400,0,-56,14529,233,40.32047,-79.9516,1148
28839,1554132063,1552575231,1708525390,0,-45,60858,281,40.338493,-79.93272,1174
28851,1592865806,1552580564,1708525402,0,-72,21066,256,29.73305,-95.585686,78
28861,1565455235,1552580730,1708525455,0,-62,60993,285,40.2712,-79.89843,752
28905,1554398625,1552581248,1708525444,0,-70,10475,279,40.334515,-79.889915,760
28921,1553874733,1552581308,1708525408,0,-53,27872,366,44.92594,-91.300835,930
28953,1578172650,1552586773,1708525454,0,-70,56019,283,40.402897,-79.84323,1038
28975,1553980998,1552587784,1708525370,0,-69,38358,252,40.362316,-79.85861,1099
29001,1645543329,1552680426,1708525287,0,-86,854,255,40.407314,-79.90902,777
29003,1552962434,1552681659,1708525459,1,-58,25811,222,30.185177,-97.89704,880
29029,1586887228,1552937859,1708525452,0,-72,14115,425,44.294495,-91.16175,900
29091,1569597164,1553007327,1708489972,0,-72,802,350,44.927277,-91.381966,915
29111,1593298169,1553007562,1708525423,0,-69,7133,264,45.432037,-91.40537,1206
29293,1602099723,1553024294,1708525395,0,-62,11974,1381,40.969044,-95.045006,1222
29305,1602085755,1553024538,1708525452,0,-70,17263,768,42.50153,-92.31623,872
29507,1599915471,1553616705,1708525414,1,-45,164,231,35.895077,-84.099754,989
29893,1573670005,1553809797,1708525453,1,-77,55867,1202,40.44187,-79.95354,898
30131,1562773512,1554488578,1708525390,0,-62,64443,325,30.21935,-93.221214,9
30145,1702491077,1554488670,1708525467,0,-32,70471,330,26.7282,-80.34707,22
30327,1619544433,1554908370,1708525406,0,-64,20229,237,33.3461,-96.35519,642
30527,1598420571,1555444374,1708525438,0,-41,61935,247,30.52152,-84.27141,215
30593,1558978338,1555513357,1708525411,0,-66,6155,251,29.557081,-95.74033,91
30689,1557874015,1555517283,1708525457,0,-72,25837,446,30.28345,-97.72317,610
30763,1627601498,1555702013,1708525433,0,-91,740,347,46.663105,-94.21687,1252
30797,1579627925,1555712806,1708525428,0,-77,68848,374,48.069454,-90.43034,1727
30799,1696366026,1555712812,1708525400,0,-56,51313,330,44.434254,-92.276794,697
31049,1556918945,1556305533,1708525469,0,-60,51896,485,44.71237,-93.463745,960
31163,1558291702,1556727613,1708525465,0,-66,2658,820,29.78264,-95.37274,43
31213,1697219448,1556734727,1708525373,1,-70,37353,408,41.482677,-81.512794,1144
31259,1607581254,1556811882,1708525439,0,-75,3412,220,33.401264,-86.66986,702
31261,1570808165,1556813756,1708525463,0,-85,16336,232,35.871845,-82.34692,4422
31407,1596131906,1557161634,1708525392,0,-72,9609,880,44.856388,-93.52403,934
31423,1600439727,1557161650,1708525425,0,-66,16221,2175,44.158497,-94.01724,775
31525,1707398157,1557327761,1708525476,0,-65,24439,338,41.496964,-81.593056,874
31548,1651519660,1557327842,1708525444,0,-74,16305,280,41.04537,-81.81842,1228
31597,1558026751,1557334981,1708525427,0,-67,46605,326,41.288837,-82.237335,823
31659,1706976008,1557423033,1708525389,0,-65,29932,336,41.062775,-81.785286,1060
31791,1559685489,1557522390,1708525469,0,-54,624,504,39.982754,-85.89833,850
32457,1562333586,1559070455,1708525484,0,-67,16061,259,39.904915,-85.942276,834
32613,1560965450,1559245946,1708525427,0,-76,65758,279,38.002686,-92.75868,962
32951,1691167950,1559943501,1708525485,0,-48,20601,440,44.411564,-88.76864,759
32953,1688145169,1559944531,1708525387,0,-59,28703,411,44.286022,-88.398766,786
33027,1672082176,1560273556,1708525462,0,-70,67939,388,25.600061,-100.26256,1911
33033,1575147333,1560273563,1708525479,0,-47,32827,263,29.601254,-94.99246,14
33087,1575140590,1560277805,1708525441,0,-70,18662,234,34.154007,-97.11285,839
33117,1574442119,1560278900,1708525458,0,-59,24841,369,25.650322,-100.32849,2034
33177,1575756282,1560358157,1708525381,0,-34,60913,296,40.073402,-82.410355,845
33245,1560954874,1560450303,1708525480,1,-52,26664,343,40.305614,-79.98643,1078
33407,1661798459,1560806308,1708525393,0,-78,29312,302,39.885372,-89.79564,586
